#simulation: 0
%step	%pop	%debt	%gift	

397	402	31	154
398	403	38	156
399	405	50	158
400	407	39	158
401	410	36	162
402	410	35	158
403	410	38	154
404	414	38	148
405	420	38	154
406	425	39	154
407	427	33	152
408	427	42	154
409	431	34	161
410	432	35	155
411	437	36	155
412	438	43	136
413	440	39	143
414	446	40	139
415	447	33	145
416	449	36	151
417	452	29	146
418	454	37	143
419	458	37	143
420	463	40	146
421	467	33	148
422	477	30	151
423	479	35	152
424	480	44	140
425	482	39	140
426	485	34	149
427	491	39	156
428	491	35	152
429	495	34	150
430	499	37	156
431	501	35	150
432	505	40	154
433	505	34	157
434	510	40	157
435	512	42	163
436	515	44	159
437	518	43	162
438	519	39	162
439	522	42	156
440	525	48	163
441	523	37	174
442	529	44	164
443	526	45	159
444	532	37	161
445	536	34	162
446	539	40	176
447	544	52	170
448	552	43	174
449	552	39	170
450	554	45	165
451	560	46	163
452	563	43	171
453	567	50	175
454	572	45	171
455	577	47	184
456	585	60	189
457	591	54	189
458	598	55	184
459	600	57	180
460	602	54	185
461	607	52	191
462	612	52	192
463	617	57	193
464	621	47	206
465	624	50	212
466	625	53	209
467	624	60	203
468	629	47	202
469	633	44	210
470	647	47	219
471	654	56	225
472	659	56	223
473	656	55	216
474	659	57	221
475	665	57	229
476	670	56	228
477	673	53	223
478	678	48	228
479	681	67	234
480	683	55	238
481	693	61	239
482	694	53	249
483	699	55	252
484	701	61	257
485	702	70	269
486	710	68	262
487	715	67	256
488	718	74	259
489	723	72	268
490	730	73	262
491	736	69	276
492	743	73	285
493	748	75	265
494	757	82	276
495	757	74	286
496	767	76	292
497	774	79	285
498	775	85	282
499	782	74	297
500	784	78	297
501	786	80	306
502	788	83	298
503	795	89	308
504	801	86	301
505	806	88	309
506	809	90	304
507	817	78	308
508	827	93	315
509	828	100	317
510	837	98	312
511	841	103	313
512	850	85	308
513	858	94	308
514	865	93	318
515	865	102	323
516	878	98	335
517	883	104	339
518	882	108	315
519	881	103	329
520	877	106	317
521	886	107	314
522	891	113	310
523	903	107	327
524	912	96	327
525	917	85	339
526	923	106	332
527	923	99	341
528	926	116	333
529	931	110	338
530	944	107	340
531	954	131	336
532	962	105	340
533	960	122	339
534	968	127	332
535	972	118	332
536	977	111	337
537	982	118	338
538	991	118	338
539	996	133	346
540	997	135	351
541	1003	128	348
542	1007	129	353
543	1022	128	359
544	1023	140	369
545	1027	137	378
546	1028	142	392
547	1029	131	376
548	1033	129	382
549	1037	137	380
550	1050	138	363
551	1057	151	377
552	1062	159	374
553	1071	154	388
554	1074	146	396
555	1077	139	401
556	1082	147	408
557	1085	149	405
558	1092	145	408
559	1095	157	420
560	1101	152	429
561	1101	139	419
562	1106	146	429
563	1106	152	419
564	1114	146	420
565	1117	149	421
566	1126	161	423
567	1128	137	429
568	1126	143	430
569	1136	164	433
570	1143	167	433
571	1150	155	447
572	1153	169	455
573	1159	174	463
574	1166	164	461
575	1169	159	469
576	1175	161	487
577	1180	175	491
578	1176	161	483
579	1184	169	478
580	1182	183	469
581	1180	167	466
582	1191	172	475
583	1195	178	486
584	1193	167	486
585	1201	168	494
586	1208	163	503
587	1209	166	469
588	1210	179	455
589	1217	169	460
590	1219	158	457
591	1226	164	455
592	1235	172	450
593	1244	167	465
594	1253	169	471
595	1258	168	477
596	1263	164	452
597	1268	179	461
598	1273	177	467
599	1266	167	468
600	1266	170	429
601	1272	170	428
602	1276	180	427
603	1279	159	444
604	1280	156	444
605	1284	183	444
606	1293	185	451
607	1297	171	445
608	1305	186	455
609	1312	180	460
610	1319	185	463
611	1319	197	443
612	1319	182	434
613	1330	190	424
614	1340	188	431
615	1345	177	437
616	1353	210	416
617	1360	186	430
618	1362	194	418
619	1365	186	429
620	1370	213	442
621	1376	214	436
622	1375	198	421
623	1370	195	424
624	1372	203	414
625	1375	193	432
626	1384	194	436
627	1394	217	435
628	1401	206	431
629	1401	206	423
630	1400	206	408
631	1398	209	414
632	1397	232	410
633	1395	231	401
634	1398	226	397
635	1401	233	399
636	1398	225	394
637	1404	230	395
638	1406	236	389
639	1407	240	387
640	1412	251	383
641	1424	240	392
642	1428	244	402
643	1438	253	404
644	1443	235	413
645	1450	257	408
646	1451	248	412
647	1454	267	378
648	1462	267	376
649	1470	258	369
650	1481	254	359
651	1484	289	378
652	1491	262	365
653	1485	295	345
654	1484	273	360
655	1482	267	365
656	1487	278	355
657	1497	272	357
658	1503	270	371
659	1509	267	378
660	1503	267	366
661	1514	292	370
662	1518	291	380
663	1528	299	383
664	1528	272	395
665	1522	269	402
666	1536	285	396
667	1542	288	403
668	1543	293	406
669	1540	296	415
670	1546	292	395
671	1540	297	361
672	1543	295	361
673	1552	293	373
674	1563	288	378
675	1560	296	374
676	1568	300	381
677	1568	290	368
678	1568	285	364
679	1570	295	352
680	1563	303	355
681	1564	302	355
682	1568	297	370
683	1566	299	381
684	1569	312	388
685	1574	300	392
686	1575	276	384
687	1574	274	399
688	1571	286	400
689	1568	281	388
690	1566	266	393
691	1576	286	399
692	1582	266	380
693	1570	280	370
694	1562	283	356
695	1556	280	342
696	1558	290	343
697	1568	302	358
698	1574	291	359
699	1575	296	363
700	1578	296	369
701	1569	295	352
702	1565	314	348
703	1566	307	356
704	1567	299	338
705	1567	282	333
706	1564	283	325
707	1576	317	332
708	1578	317	317
709	1571	296	328
710	1575	314	335
711	1578	320	338
712	1580	307	331
713	1574	324	316
714	1577	330	309
715	1583	307	319
716	1584	301	313
717	1586	318	316
718	1596	324	316
719	1600	352	314
720	1597	334	328
721	1597	293	337
722	1589	289	324
723	1595	312	327
724	1609	331	321
725	1620	332	325
726	1632	345	328
727	1631	326	332
728	1634	308	342
729	1631	346	337
730	1623	321	346
731	1611	362	353
732	1610	325	361
733	1609	357	368
734	1616	361	374
735	1615	364	370
736	1630	336	372
737	1627	330	376
738	1616	338	375
739	1615	350	363
740	1603	322	350
741	1607	344	342
742	1606	352	347
743	1599	346	336
744	1600	335	333
745	1605	337	344
746	1599	331	345
747	1596	309	354
748	1601	327	358
749	1603	315	365
750	1597	321	375
751	1599	338	363
752	1591	329	373
753	1596	332	363
754	1592	338	367
755	1594	342	360
756	1602	341	364
757	1606	345	341
758	1605	335	346
759	1609	359	335
760	1610	352	339
761	1608	332	336
762	1610	339	332
763	1623	375	342
764	1626	360	350
765	1630	365	347
766	1630	358	346
767	1632	344	344
768	1627	369	326
769	1632	347	334
770	1648	330	340
771	1648	334	342
772	1646	310	324
773	1650	317	316
774	1656	300	293
775	1654	346	286
776	1658	348	278
777	1651	325	277
778	1650	324	285
779	1657	325	265
780	1654	343	271
781	1648	305	273
782	1642	307	273
783	1644	321	275
784	1637	323	263
785	1630	347	241
786	1638	346	244
787	1641	342	238
788	1643	315	242
789	1640	339	225
790	1643	354	226
791	1644	341	219
792	1650	347	223
793	1658	346	217
794	1664	355	214
795	1667	352	218
796	1677	350	228
797	1682	364	238
798	1680	326	230
799	1677	363	218
800	1684	338	226
801	1689	335	228
802	1681	336	222
803	1681	355	224
804	1683	343	230
805	1688	352	230
806	1696	351	236
807	1700	356	245
808	1702	360	239
809	1708	343	240
810	1717	368	228
811	1722	370	231
812	1717	351	238
813	1720	373	251
814	1735	361	243
815	1733	378	252
816	1735	378	248
817	1739	389	254
818	1751	387	265
819	1744	392	277
820	1747	366	279
821	1748	362	284
822	1744	377	251
823	1737	355	250
824	1733	378	238
825	1730	402	207
826	1721	397	207
827	1722	403	192
828	1728	373	197
829	1734	399	195
830	1727	407	197
831	1722	401	191
832	1720	390	174
833	1719	417	191
834	1717	411	193
835	1712	418	189
836	1716	426	195
837	1713	401	192
838	1709	389	202
839	1703	388	210
840	1701	386	217
841	1700	384	214
842	1698	395	207
843	1691	405	208
844	1700	430	198
845	1705	437	202
846	1695	422	186
847	1687	409	192
848	1684	412	182
849	1687	423	182
850	1697	418	184
851	1694	421	192
852	1697	409	193
853	1703	406	185
854	1703	415	194
855	1693	389	192
856	1695	429	185
857	1690	438	189
858	1698	436	188
